^No^Hostname^Role^System Backup^Model^Ser No.^Location^Rack^Virtual^Virtualization^Physical Host^AppName^Landscape^Contacts^
|1 | taprvio18  |VIO UNIX Infrastructure Server  |pgnmsv01  |  |  |Lincolnshire  |11  |yes  |powervm  |  |VIOS31  |  | Chris Stachowiak,Robert Bieniek,Kapilraj Koroth| 
|16 | deerap99  |C11 CI App Server-Primary (Active/Pasive Cluster with deerap98,Dev env for TA2)  |pgnmsv01  |  |  |Lincolnshire  |11  |yes  |powervm  |ETS-9179-MHB-SN06E6B85  |SAP C11 Central Instance  |  |Paul Burke,Thomas Jacob,Eric Van Asbroeck,Peter Pallen,Thorsten Schimpf,Henk Kiewiet, David Lei,Sugar Tang,Claudio Baccaro,Eugenia de la Cruz,Edson Martos,Robin Kuhn,Inge Pinnoy,Hilde Gybels,Todd Davis,TAITIOSSapbasis| 
|17 | tspr1d01  |SAP SRM DB Server, TITAN  |pgnmsv01  |  |  |Lincolnshire  |11  |yes  |powervm  |ETS-9179-MHB-SN06E6B85  |SAP SRM PSR, TITAN  |  | Rick Roeber,Steven Long| 
|18 | tsqa1d01  |SRM DB Server, Titan  |pgnmsv01  |  |  |Lincolnshire  |11  |yes  |powervm  |SRM-GTS-QA-9131-52A-SN065A1AG  |SAP SRM QSR, Oracle DB Server,Titan  |  || 
|19 | dafodb01  |Development Server For Oracle Forms DFOR & SFOR, Cognos and PTC Integration (DGCE & TGCE) DB server  |pgnmsv01  |  |  |Lincolnshire  |  |yes  |IBM powervm  |  |Oracle Forms (DFOR & SFOR), Cognos and PTC Integration (DGCE & TGCE) DB server  |  |(Oracle Forms)Raj Shanmugan,Moon Do, Joe hall, Dave Sanders,Ravi Agarwal (Congos)Debbie Rodnicki,Arvind Balakrishnan,Vinodh Chandra,Humayun Kamanaur.(PTC Integration)Dave Blanck,Matt Gale| 
|20 | tasew007  |MES Seward Primary Oracle DB Server  |tasew008  |  |  |Seward  |  |no  |  |  |Oracle PMES  |  |Tricia Miller,Ross Parde,David Luong,  Glen Drodge, Todd Davis| 
|21 | tasew008  |MES Seward Standby Oracle DB Server  |tasew007  |  |  |Seward NE  |  |No  |None  |MES-SEC-8203-E4A-SN06EF665  |Oracle PMES  |  |Tricia Miller,Ross Parde,David Luong,Glen Drodge,Todd Davis| 
|22 | taede651  |MES Primary Oracle DB Server Edenkoben  |penmsv01  |  |  |Edenkoben  |11  |yes  |powervm  |taede651-8202-E4B-SN065BA0P  |Oracle, PMES  |  || 
|23 | taede652  |MES Standby Oracle DB Server Edenkoben  |penmsv01  |  |  |Edenkoben  |11  |yes  |powervm  |taede652-8202-E4B-SN065BA7P  |Oracle, PMES  |  || 
|24 | ftp1  | Eng and Marketing DMZ FTP server ITOC   |pgnmsv01  |  |  |Lincolnshire  | RACK #5   |NO  |No  | IBM,9131-52A  | Secure FTP Only  |  |Carri Irby,Karen Ameel| 
|25 | atlasdr  |NA Backup Server N.A Test Server  |pgnmsv01  |  |  |Lincolnshire  |11  |yes  |None  |  |NA-Netbackup N.A. Test Server  |  || 
|26 | taitc118  |Primary Lincolnshire NIM Server - Infrastructure  |pgnmsv01  |  |  |Lincolnshire  |11  |yes  |powervm  |2  |AIX Network Installation manager-NIM  |  |GIOS UNIX Team| 
|27 | paft3p02  |Primary PTA EDI Gentran Primary FTP Server  |pgnmsv01  |  |  |Lincolnshire  |11  |yes  |powervm  |PAFT3P02-8203-E4A-SN06C17A2  |EDI Gentran FTP and Secure FTP  |  | EDI Team| 
|28 | taprvio40  |VIO UNIX Infrastructure Server  |pgnmsv01  |  |  |Lincolnshire  |11  |yes  |powervm  |MES-Dev-QA-8205-E6B-SN1048EEP  |VIOS40  |  | Chris Stachowiak,Robert Bieniek,Kapilraj Koroth| 
|29 | taprvio41  |VIO UNIX Infrastructure Server  |pgnmsv01  |  |  |Lincolnshire  |11  |yes  |powervm  |MES-Dev-QA-8205-E6B-SN1048EEP  |VIOS41  |  | Chris Stachowiak,Robert Bieniek,Kapilraj Koroth| 
|30 | qamesd02  |MES Standby DB Server Dataguard replication from qamesdb01  |pgnmsv01  |  |  |Lincolnshire  |11  |yes  |powervm  |MES-Dev-QA-8205-E6B-SN1048EEP  |SCADA Oracle DB Server - primary  |  | Todd Davis, Dave Luong| 
|31 | qamesd01  |MES Primary DB Server Dataguard replication to qamesdb02  |pgnmsv01  |  |  |Lincolnshire  |11  |yes  |powervm  |MES-Dev-QA-8205-E6B-SN1048EEP  |SCADA Oracle DB Server - primary  |  || 
|32 | dgrmdb01  |GRC SAP Oracle DB Server, Risk Management  |pgnmsv01  |  |  |Lincolnshire  |11  |yes  |IBM powervm  |MES-Dev-QA-8205-E6B-SN1048EEP  |SAP DRM, Oracle DB Server  |  |TaitiosSapbasis,Sigris Conix, Joel Schoofs, Rick Roeber| 
|33 | qgrmdb01  |GRC SAP Oracle DB Server  |pgnmsv01  |  |  |Lincolnshire  |11  |yes  |powervm  |MES-Dev-QA-8205-E6B-SN1048EEP  |SAP QRM, Oracle DB Server  |  |TAITIOSSAPBASIS, Sigrid Conix, Joel Schoofs, Rick Roeber| 
|34 | pgrmdb01  |GRC SAP Oracle DB Server,Risk Management  |pgnmsv01  |  |  |Lincolnshire  |11  |yes  |powervm  |  |SAP GRC PRM  |  |TAITIOSSAPBASIS, Chris Millner, Rick Roeber| 
|35 | deerap98  |C11 CI Standby App Server (Active/Pasive Cluster with deerap99,Dev env for TA2)  |pgnmsv01  |  |  |Lincolnshire  |11  |yes  |powervm  |MES-Dev-QA-8205-E6B-SN1048EEP  |SAP C11 Central Instance  |  |Paul Burke,Thomas Jacob,Eric Van Asbroeck,Peter Palen,Thorsten Schimpf,Henk Kiewiet, David Lei,Sugar Tang,Claudio Baccaro,Eugenia de la Cruz,Edson Martos,Robin Kuhn,Inge Pinnoy,Hilde Gybels,Todd Davis,TAITIOSSapbasis| 
|36 | deerdb98  |C11 Standby Oracle DB Server (Dataguard replication from deerdb99,Dev env for TA2)  |pgnmsv01  |  |  |Lincolnshire  |11  |yes  |powervm  |MES-Dev-QA-8205-E6B-SN1048EEP  |C11 Oracle DB  |  |Paul Burke,Thomas Jacob,Eric Van Asbroeck,Peter Pallen,Thorsten Schimpf,Henk Kiewiet, David Lei,Sugar Tang,Claudio Baccaro,Eugenia de la Cruz,Edson Martos,Robin Kuhn,Inge Pinnoy,Hilde Gybels,Todd Davis,TAITIOSSapbasis,DBA| 
|37 | tgpretl1  |ETL DataStage App Server  |pgnmsv01  |  |  |Lincolnshire  |11  |yes  |powervm  |2  |IBM Datastage Information Server  |  |Moon Do,Brad Vail,Tom Ho,Debbie Rodnicki,Joe Pase,Jillean Mills| 
|38 | tndv3d01  |SST BI/BW SAP Oracle DB Server  |pgnmsv01  |  |  |Lincolnshire  |11  |yes  |powervm  |DW-9113-550-SN10-B962F  |SAP BI BW Business Warehouse, Oracle DB Server  |  || 
|39 | qgsndb01  |SAP Oracle DB Server SNC, Central Instance and Application Server  |pgnmsv01  |  |  |Lincolnshire  |  |yes  |IBM powervm  |Server-8205-E6B-SN1048EEP  |QSN - Global - SNC / Test/Quality  |  |TAITIOSSAPBASIS,Rick Roeber, James farmer and Claire Jaques| 
|40 | tnpr3d01  |SAP BI-BW SSP BI/BW SAP DB Server  |pgnmsv01  |  |  |Lincolnshire  |11  |yes  |powervm  |DW-9113-550-SN10-B962F  |SAP Business Datawarehouse BI-BW, Oracle  |  || 
|41 | pafoap01  |Oracle Forms App Server#1 working in tandem with pafoap02   |pgnmsv01  |  |  |Lincolnshire  |11  |yes  |powervm  |ETS-9179-MHB-SN06E6B85  |Oracle FORMS  |  |Raj Shanmugam, Joe Hall| 
|42 | taprvio60  |VIO UNIX Infrastructure Server  |pgnmsv01  |  |  |Lincolnshire  |11  |yes  |powervm  |Server-8205-E6C-SN102D67R  |VIOS60  |  | Chris Stachowiak,Robert Bieniek,Kapilraj Koroth| 
|43 | taprvio70  |VIO UNIX Infrastructure Server  |pgnmsv01  |  |  |Lincolnshire  |11  |yes  |powervm  |Server-8205-E6C-SN102D67R  |VIOS70  |  | Chris Stachowiak,Robert Bieniek,Kapilraj Koroth| 
|44 | dggpdb01  |GPDM Central metadata repository Oracle DB  |pgnmsv01  |  |  |Lincolnshire  |11  |yes  |powervm  |Server-8205-E6C-SN102D67R  |SAP GPDM Central Server, Oracle DB server  |  |TaitiosSapbasis,Scott Ready,TA PDM Core Team| 
|45 | qggpdb01  |PLM/Atlas Oracle DB Server,SAP Webdispatcher  |pgnmsv01  |  |  |Lincolnshire  |11  |yes  |powervm  |Server-8205-E6C-SN102D67R  |SAP GPDM/PLT, Oracle DB Server  |  |Scott Ready,Axel Doer,Paul Caston,Zigor Arosa| 
|46 | sggpdb01  |SAP Sand Box PLM/Atlas DB Server,Web dispatcher  |pgnmsv01  |  |  |Lincolnshire  |11  |yes  |powervm  |Server-8205-E6C-SN102D67R  |SAP Oracle DB Server PLS,Central Instance,application server   |  |TaitiosSapbasis,Scott Ready,TA PDM Core Team| 
|47 | taitc102  |Consolidated Oracle DB for TSWB=Supply web,TCIS - EDI Integraton Suite GIS, TSUP-Tenneco Supplier,Production CTRIX   |pgnmsv01  |  |  |Lincolnshire  |11  |yes  |powervm  |Server-8205-E6C-SN102D67R  |Oracle DB for the following TSWB,TSUP,TGIS,TCOG,TSBI,PRODUCTION CITRIX  |  || 
|48 | dgasdb01  |ADS development SAP system(part of QIM landscape), oracle DB Server  |pgnmsv01  |  |  |Lincolnshire  |11  |yes  |powervm  |Server-8205-E6C-SN102D67R  |SAP DAS Adobe Print Services, Oracle DB server  |  |TaitiosSapbasis,Scott Ready, Charles Frangie| 
|49 | dgimdb01  |SAP QIM Dev, Oracle DB Server  |pgnmsv01  |  |  |Lincolnshire  |11  |yes  |IBM powervm  |Server-8205-E6C-SN102D67R  |SAP DIM, Oracle DB Server  |  |Scott Ready,Rick Robber,James Farmer,TaitiosSapbasis,Paul Caston| 
|50 | dggtdb01  |GTS DB Oracle Server and Oracle DB server  |pgnmsv01  |  |  |Lincolnshire  |11  |yes  |IBM powervm  |Server-8205-E6C-SN102D67R  |Global Trading System, Oracle DB  |  |Rick Roeber Lahari Veligeti, Raj palanivel, TaitiosSapbasis| 
|51 | qggtdb01  |SAP GTS Oracle DB Server  |pgnmsv01  |  |  |Lincolnshire  |11  |yes  |powervm  |Server-8205-E6C-SN102D67R  |SAP Global Trading System GTS/QGT  |  |Rick Roeber,Lahari Veligeti, Raj palanivel, Paul Caston, TaitiosSapbasis| 
|52 | qgimdb01  |SAP QIM Test oracle DB Server  |pgnmsv01  |  |  |Lincolnshire  |11  |yes  |powervm  |Server-8205-E6C-SN102D67R  |SAP QIM  |  | Rick Robber,James Farmer| 
|53 | tsdv1d01  |SRM DB/EP/XI Oracle DB/App Server  |pgnmsv01  |  |  |Lincolnshire  |11  |yes  |powervm  |SRM-GTS-DEV-55A-SN06D309G  |SAP DSR,OLD-DEP,DPI,Oracle DB  |  || 
|54 | itcap001  |Manugistics Prod Oracle DB/App Server  |pgnmsv01  |  |  |Lincolnshire  |11  |yes  |powervm  |Server-9117-MMA-SN109F390  |Manugistics  |  |Tim Schmucker, Kempe Gowda | 
|55 | sgimdb01  |SAP SIM Dev, Oracle DB Server  |pgnmsv01  |  |  |Lincolnshire  |20  |yes  |IBM powervm  |Server-8205-E6C-SN102D67R  |SAP DIM, Oracle DB Server  |  |Scott Ready,Rick Robber,James Farmer,TaitiosSapbasis,Paul Caston| 
|56 | sgscdb01  |EWM SAP Oracle DB Server  |pgnmsv01  |  |  |Lincolnshire  |11  |yes  |IBM powervm  |Server-8205-E6C-SN102D67R  |SAP EWM, Oracle DB Server  |  | GIOS SAP BASIS,Chris Millner,Erica Kaplinsky,Brandon Gillespie| 
|57 | tssb1d01  |SRM DB/EP/XI Oracle DB/App Server  |pgnmsv01  |  |  |Lincolnshire  |22  |yes  |powervm  |  |SAP SSR,OLD-DEP,DPI,Oracle DB  |  || 
|58 | xggpdb01  |PLX/Atlas Oracle DB Server,SAP Webdispatcher  |pgnmsv01  |  |  |Lincolnshire  |11  |yes  |powervm  |Server-8205-E6C-SN102D67R  |SAP GPDM/PLX, Oracle DB Server  |  |SAP BASIS| 
|59 | taprvio80  |VIOS Server 80  |pgnmsv01  |  |  |Lincolnshire  |11  |yes  |powervm  |Server-8205-E6D-SN108CCAT  |  |  | Chris Stachowiak,Robert Bieniek,Kapilraj Koroth| 
|60 | taprvio81  |VIOS Server 81  |pgnmsv01  |  |  |Lincolnshire  |11  |yes  |powervm  |Server-8205-E6D-SN108CCAT  |  |  | Chris Stachowiak,Robert Bieniek,Kapilraj Koroth| 
|61 | dgaidb01  |Dev DAI Interface for SRM,GTS and SNC,Oracle DB server    |pgnmsv01  |  |  |Lincolnshire  |  |yes  |IBM powervm  |Server-8205-E6D-SN108CCAT  |AEX/DAI Interface for SRM,GTS and SNC, Oracle DB server  |  |TAITIOSSAPBASIS,Rick Roeber, James Farmer and Benjamin Husby| 
|62 | qgaidb01  |Test QAI Interface for SRM,GTS and SNC  |pgnmsv01  |  |  |Lincolnshire  |  |yes  |powervm  |Server-8205-E6D-SN108CCAT  |AEX/QAI Interface for SRM,GTS and SNC  |  |TAITIOSSAPBASIS,Rick Roeber, James farmer and Claire Jaques| 
|63 | pgaidb01  |production PAI Interface for SRM,GTS and SNC  |pgnmsv01  |  |  |Lincolnshire  |  |yes  |powervm  |Server-8205-E6D-SN108CCAT  |Adapter Engine for a PI (process integration) Interface for SRM,GTS and SNC  |  |TAITIOSSAPBASIS,Rick Roeber, James Farmer,  Benjamin Husby| 
|64 | dgsndb01  |SAP Global SNC, Oracle DB Server  |pgnmsv01  |  |  |Lincolnshire  |  |yes  |IBM powervm  |Server-8205-E6D-SN108CCAT  |SAP DSN-Global-SNC, Oracle DB server   |  |TAITIOSSAPBASIS,Rick Roeber, James farmer and Claire Jaques| 
|65 | pggtdb01  |SAP GTS Oracle DB Server  |pgnmsv01  |  |  |Lincolnshire  |11  |yes  |IBM powervm  |Server-8205-E6D-SN108CCAT  |SAP Global Trading System GTS  |  |Rick Roeber,Lahari Veligeti, Raj palanivel, Paul Caston, TaitiosSapbasis| 
|66 | TEDV2D01  |SAP IT0 ERP SAP Oracle DB and Central Instance Server  |pgnmsv01  |  |  |Lincolnshire  |11  |yes  |powervm  |Server-9117-MMA-SN109F390  |SAP IT0, Oracle DB server  |  |TAITIOSSAPBASIS, DBA, Paul Burke,Thomas Jacob,Eric Van Asbroeck,Peter Pallen,Thorsten Schimpf,Henk Kiewiet,David Lei,Sugar Tang,Claudio Baccaro,Eugenia de la Cruz,Edson Martos, Robin Kuhn, Inge Pinnoy, Hilde Gybels, Todd Davis, Andrew Ellwood, Leszek Uchyla, Nicolas DeDobbeleer| 
|67 | dahydb02  |Hyperion DB Dev/Test/Sand Server  |pgnmsv01  |  |  |Lincolnshire  |11  |yes  |powervm  |5  |Hyperion DHYP,THYP,SHYP  |  |Moon Do,Karina Crockett,Shane Richter,Ami Patel,Ling Gao,Diego Panella,Laura Yu| 
|68 | taitc121  |CUA SAP Security, QCU - Global - CUA / Test/Quality, Test TSP - Tenneco Suppier Portal  |pgnmsv01  |  |  |Lincolnshire  |  |yes  |powervm/vmware  |E6D-SN108CCAT  |  |  || 
|69 | taitc122  |SAP CUA-PCU-Global SAP Ssecurity, Tenneco TSP Supplier Portal  |pgnmsv01  |  |  |Lincolnshire  |  |  |powervm/vmware  |  |  |  || 
|70 | taitc111  |SAP Solution Manager-TRA SAP DB Server-Sandbox  |pgnmsv01  |  |  |Lincolnshire  |11  |yes  |powervm  |  |SAP Solution Manager TRA-Sandbox, Oracle DB Server  |  |Danny Smeets,Athi,Raoul Serra,Paul Caston| 
|71 | pahydb02  |Hyperion DB Secondary - Prod Server  |pgnmsv01  |  |  |Lincolnshire  |11  |yes  |powervm  |5  |Hyperion PHYP  |  |Moon Do,Karina Crockett,Shane Richter,Ami Patel,Ling Gao,Diego Panella,Laura Yu| 
|72 | pgsndb01  |SAP SNC Oracle DB Server and Central Instance  |pgnmsv01  |  |  |Lincolnshire  |  |yes  |IBM powervm  |Server-8205-E6D-SN108CCAT  |Global - SNC / Productionn, Oracle DB Server  |  |TAITIOSSAPBASIS,Rick Roeber, Raj Palanivel and Laurent Etienne| 
|73 | dgjbdb01  |SST BI/BW SAP Oracle DB Server - jave based  |pgnmsv01  |  |  |Lincolnshire  |11  |yes  |powervm  |  |SAP BI BW Business Warehouse, Oracle DB Server,Zycus-JAVA based  |  || 
|74 | qgjbdb01  |SST BI/BW SAP Oracle DB Server - jave based  |pgnmsv01  |  |  |Lincolnshire  |11  |yes  |powervm  |  |SAP BI BW Business Warehouse, Oracle DB Server,Zycus-JAVA based  |  || 
|75 | taprvio90  |VIO UNIX Infrastructure Server  |pgnmsv01  |  |  |Lincolnshire  |6  |yes  |powervm  |8284-22A-SN214BB7V  |VIOS90  |  | Chris Stachowiak,Robert Bieniek,Kapilraj Koroth| 
|76 | taprvio91  |VIO UNIX Infrastructure Server  |pgnmsv01  |  |  |Lincolnshire  |6  |yes  |powervm  |8284-22A-SN214BB7V  |VIOS91  |  | Chris Stachowiak,Robert Bieniek,Kapilraj Koroth| 
|77 | tsdv1d02  |SAP Enterprise Portal  |pgnmsv01  |  |  |Lincolnshire  |  |yes  |powervm  |  |SAP DEP, Oracle DB  |  || 
|78 | tsqa1d02  |SRM Enterprise Portal Oracle DB Server, Titan  |pgnmsv01  |  |  |Lincolnshire  |11  |yes  |powervm  |SRM-QA-9131-52A-SN065A1BG  |SAP SRM QEP, Oracle DB,Titan  |  || 
|79 | tspr1d02  |SRM Enterprise Portal DB Server  |pgnmsv01  |  |  |Lincolnshire  |11  |yes  |powervm  |SRM-PROD-9131-52A-SN066768G  |SAP PEP,TITAN  |  || 
|80 | paft3p01  |Primary  PTA EDI Gentran FTP Server  |pgnmsv01  |  |  |Lincolnshire  |11  |yes  |powervm  |PAFT3P02-8203-E4A-SN06C17A2  |EDI Gentran FTP and Secure FTP  |  | EDI Team| 
|81 | taprvio100  | Unix Infrastructure - VIOS  |pgnmsv01  |  |  |Lincolnshire  |  |  |powervm/vmware  |  |VIOS110  |  | Chris Stachowiak,Robert Bieniek,Kapilraj Koroth| 
|82 | taprvio101  | provides virtualization to Power8 AIX systems  |pgnmsv01  |  |  |Lincolnshire  |  |  |powervm/vmware  |  |  |  | Chris Stachowiak,Robert Bieniek,Kapilraj Koroth| 
|83 | pgscdb01  |EWM SAP Oracle DB Server,Central Instance, App Server,Autosys  |pgnmsv01  |  |  |Lincolnshire  |11  |yes  |powervm  |Server-8284-22A-SN215D22V  |SAP EWM PSC, Autosys, Oracle DB Server  |  || 
|84 | saerdb01  |Sandbox STA ERP SAP Oracle DB/CI Server  |pgnmsv01  |  |  |Lincolnshire  |11  |yes  |powervm  |  |SAP STA Oracle DB   |  | Scott Ready, David Moris, Paul Burke,Thomas Jacob,Eric Van Asbroeck, Henk Kiewiet,David Lei,Sugar Tang,Claudio Baccaro,Eugenia de la Cruz,Edson Martos, Inge Pinnoy, Hilde Gybels, Todd Davis| 
|85 | qgsnap01  |SAP Oracle App Server SNC, Application Server  |pgnmsv01  |  |  |Lincolnshire  |  |yes  |IBM powervm  |Server-8205-E6B-SN1048EEP  |QSN - Global - SNC / Test/Quality  |  |TAITIOSSAPBASIS,Rick Roeber, James farmer and Claire Jaques| 
|86 | pgsnap01  |SAP SNC Oracle App Server  |pgnmsv01  |  |  |Lincolnshire  |  |yes  |IBM powervm  |Server-8205-E6D-SN108CCAT  |Global - SNC / Productionn, Application Server   |  |TAITIOSSAPBASIS,Rick Roeber, Raj Palanivel and Laurent Etienne| 
|87 | pocafasv03  |SANDBOX PTA ERP SAP Oracle DB Server and SAP Central Instance,NFS Server for PTA,FTA,CTA  |pgnmsv01  |  |  |Lincolnshire  |3  |yes  |powervm  |  |SAP ERP MTA,Oracle DB Server - Sandbox  |  |David Morris,Jake Dombrowski,Todd Davis,Rick Roeber,Robin Kuhn, Inge Pinnoy, Hilde Gybels,Paul Burke,Thomas Jacob, Paul Caston,Luc Adons,Shane Richter,Scott Ready| 
|88 | taprvio110  |AIX Virtualization  |pgnmsv01  |  |  |Lincolnshire  |  |  |powervm/vmware  |  |VIOS140  |  | Chris Stachowiak,Robert Bieniek,Kapilraj Koroth| 
|89 | taprvio111  |AIX Virtualization  |pgnmsv01  |  |  |Lincolnshire  |  |  |powervm/vmware  |  |VIOS140  |  | Chris Stachowiak,Robert Bieniek,Kapilraj Koroth| 
|90 | peerap98  |Standby TA2 Central Instance and NFS App Server (Active Pasive Cluster with peerap99)  |pgnmsv01  |  |  |Lincolnshire  |11  |yes  |IBM powervm  |Server-9117-MMA-SN109F390  |SAP ERP TA2  |  |Eric Van Asbroeck,Srinivas M,John Mclean,Eugenia Dela cruz,David Lei,Henk Kiewiet, Peter Bammens, Paul Caston,  GIOS Sapbasis,Andrew Ellwood,Eric Van Asbroeck,Erich Schwarz,Paul Burke,Thomas Jacob,Will Jiang, Peter Pallen, Thorsten Schimpf| 
|91 | qaap3p01  |FTA EDI Gentran App Server, Autosys Job Scheduler, Connect Direct  |pgnmsv01  |  |  |Lincolnshire  |11  |yes  |powervm  |2  |Gentran EDI,Autosys,ConnectDirect  |  |Moon Do,Paul Caston,Joel Schoofs,Rupak| 
|92 | tnqa3d01  |SAP BI-BW SSP BI/BW SAP DB Server, Websphere Zycus  |pgnmsv01  |  |  |Lincolnshire  |11  |yes  |powervm  |DW-9113-550-SN10-B962F  |SAP Business Datawarehouse BI-BW, Oracle, Websphere   |  || 
|93 | pgsnap02  |SAP SNC Oracle App Server  |pgnmsv01  |  |  |Lincolnshire  |  |yes  |IBM powervm  |Server-8205-E6D-SN108CCAT  |Global - SNC / Productionn, Application Server   |  |TAITIOSSAPBASIS,Rick Roeber, Raj Palanivel and Laurent Etienne| 
|94 | dgbcdb01  |Barcode Loftware Lable Development Database Server  |pgnmsv01  |  |  |lincolnshire  |  |yes  |vios  |  |Barcode Loftware Lable Development Database Server  |  || 
|95 | qgbcdb01  |Barcode Loftware Lable Test Database Server  |pgnmsv01  |  |  |lincolnshire  |  |yes  |vios  |  |Barcode Loftware Lable Test Database Server  |  || 
|96 | tgdvetl1  |ETL DataStage App Server  |pgnmsv01  |  |  |Lincolnshire  |11  |yes  |powervm  |2  |IBM Datasteg Information Server  |  |Moon Do,Brad Vail,Tom Ho,Debbie Rodnicki| 
|97 | pgdmr055  |Atlas Content Global Repository, DETEC TA2 SPECIAL FORMS PRINT SERVER  |pgnmsv01  |  |  |Lincolnshire  |11  |yes  |powervm  |AtlasContent9133-55A-SN061FF1H  |MaxDB,CDB,SDB,DETEC TA2 PRINT SERVER   |  |Axel Doer,Scott Read, TAITIOSSAPBASIS| 
|98 | qgsodb01  |SAP Single Sign On Test Database Server(SSO)  |pgnmsv01  |  |  |Lincolnshire  |12  |yes  |IBM powervm  |Server-8284-22A-SN215D24V  |SAP Single Sign On(SSO)  |  | GIOS SAP BASIS| 
|99 | taprvio150  | Unix Infrastructure - VIOS  |pgnmsv01  |  |  |Lincolnshire  |  |  |powervm/vmware  |  |VIOS110  |  | Chris Stachowiak,Robert Bieniek,Kapilraj Koroth| 
|100 | taprvio151  | Unix Infrastructure - VIOS  |pgnmsv01  |  |  |Lincolnshire  |  |  |powervm/vmware  |  |VIOS110  |  | Chris Stachowiak,Robert Bieniek,Kapilraj Koroth| 
